f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f jV0400m jV0400f jV0600m jV0600f jV0200m jV0200f jV0800m jV0800f 
1 21614.2 179.989 0 0 0.713128 -0.00491366 0 0 0.193791 -179.95 1 0 221.64 -0.0108292 0 0 5.43223e-009 -90.0108 8.52791e-015 -89.9892 2.16142 179.989 2.70177 -0.0108297 
1.02353 21614.2 179.989 0 0 0.713128 -0.00502929 0 0 0.193791 -179.948 1 0 221.64 -0.011084 0 0 5.56005e-009 -90.0111 8.72858e-015 -89.989 2.16142 179.989 2.70177 -0.0110845 
1.04762 21614.2 179.989 0 0 0.713128 -0.00514763 0 0 0.193791 -179.947 1 0 221.64 -0.0113448 0 0 5.69089e-009 -90.0113 8.93397e-015 -89.9887 2.16142 179.989 2.70177 -0.0113453 
1.07227 21614.2 179.988 0 0 0.713128 -0.00526876 0 0 0.193791 -179.946 1 0 221.64 -0.0116118 0 0 5.8248e-009 -90.0116 9.14419e-015 -89.9884 2.16142 179.988 2.70177 -0.0116123 
1.0975 21614.2 179.988 0 0 0.713128 -0.00539274 0 0 0.193791 -179.945 1 0 221.64 -0.011885 0 0 5.96186e-009 -90.0119 9.35937e-015 -89.9882 2.16142 179.988 2.70177 -0.0118855 
1.12332 21614.2 179.988 0 0 0.713128 -0.00551963 0 0 0.193791 -179.943 1 0 221.64 -0.0121647 0 0 6.10215e-009 -90.0122 9.5796e-015 -89.9879 2.16142 179.988 2.70177 -0.0121652 
1.14976 21614.2 179.988 0 0 0.713128 -0.00564952 0 0 0.193791 -179.942 1 0 221.64 -0.0124509 0 0 6.24574e-009 -90.0125 9.80502e-015 -89.9876 2.16142 179.988 2.70177 -0.0124515 
1.17681 21614.2 179.987 0 0 0.713128 -0.00578246 0 0 0.193791 -179.941 1 0 221.64 -0.0127439 0 0 6.39271e-009 -90.0127 1.00357e-014 -89.9873 2.16142 179.987 2.70177 -0.0127445 
1.2045 21614.2 179.987 0 0 0.713128 -0.00591852 0 0 0.193791 -179.939 1 0 221.64 -0.0130438 0 0 6.54314e-009 -90.013 1.02719e-014 -89.987 2.16142 179.987 2.70177 -0.0130444 
1.23285 21614.2 179.987 0 0 0.713128 -0.00605779 0 0 0.193791 -179.938 1 0 221.64 -0.0133507 0 0 6.6971e-009 -90.0134 1.05136e-014 -89.9867 2.16142 179.987 2.70177 -0.0133513 
1.26186 21614.2 179.986 0 0 0.713128 -0.00620034 0 0 0.193791 -179.936 1 0 221.64 -0.0136649 0 0 6.85469e-009 -90.0137 1.0761e-014 -89.9864 2.16142 179.986 2.70177 -0.0136655 
1.29155 21614.2 179.986 0 0 0.713128 -0.00634624 0 0 0.193791 -179.935 1 0 221.64 -0.0139864 0 0 7.01599e-009 -90.014 1.10142e-014 -89.9861 2.16142 179.986 2.70177 -0.013987 
1.32194 21614.2 179.986 0 0 0.713128 -0.00649557 0 0 0.193791 -179.933 1 0 221.64 -0.0143156 0 0 7.18108e-009 -90.0143 1.12734e-014 -89.9857 2.16142 179.986 2.70177 -0.0143162 
1.35305 21614.2 179.985 0 0 0.713128 -0.00664842 0 0 0.193791 -179.932 1 0 221.64 -0.0146524 0 0 7.35006e-009 -90.0147 1.15387e-014 -89.9854 2.16142 179.985 2.70177 -0.014653 
1.38489 21614.2 179.985 0 0 0.713128 -0.00680486 0 0 0.193791 -179.93 1 0 221.64 -0.0149972 0 0 7.52302e-009 -90.015 1.18102e-014 -89.9851 2.16142 179.985 2.70177 -0.0149978 
1.41747 21614.2 179.985 0 0 0.713128 -0.00696499 0 0 0.193791 -179.929 1 0 221.64 -0.0153501 0 0 7.70004e-009 -90.0154 1.20881e-014 -89.9847 2.16142 179.985 2.70177 -0.0153508 
1.45083 21614.2 179.984 0 0 0.713128 -0.00712888 0 0 0.193791 -179.927 1 0 221.64 -0.0157113 0 0 7.88123e-009 -90.0157 1.23725e-014 -89.9843 2.16142 179.984 2.70177 -0.015712 
1.48497 21614.2 179.984 0 0 0.713128 -0.00729663 0 0 0.193791 -179.925 1 0 221.64 -0.016081 0 0 8.06668e-009 -90.0161 1.26637e-014 -89.984 2.16142 179.984 2.70177 -0.0160817 
1.51991 21614.2 179.984 0 0 0.713128 -0.00746833 0 0 0.193791 -179.923 1 0 221.64 -0.0164594 0 0 8.2565e-009 -90.0165 1.29617e-014 -89.9836 2.16142 179.984 2.70177 -0.0164601 
1.55568 21614.2 179.983 0 0 0.713128 -0.00764407 0 0 0.193791 -179.922 1 0 221.64 -0.0168467 0 0 8.45079e-009 -90.0168 1.32667e-014 -89.9832 2.16142 179.983 2.70177 -0.0168474 
1.59228 21614.2 179.983 0 0 0.713128 -0.00782394 0 0 0.193791 -179.92 1 0 221.64 -0.0172431 0 0 8.64964e-009 -90.0172 1.35788e-014 -89.9828 2.16142 179.983 2.70177 -0.0172439 
1.62975 21614.2 179.982 0 0 0.713128 -0.00800804 0 0 0.193791 -179.918 1 0 221.64 -0.0176489 0 0 8.85318e-009 -90.0176 1.38984e-014 -89.9824 2.16142 179.982 2.70177 -0.0176496 
1.6681 21614.2 179.982 0 0 0.713128 -0.00819648 0 0 0.193791 -179.916 1 0 221.64 -0.0180642 0 0 9.0615e-009 -90.0181 1.42254e-014 -89.982 2.16142 179.982 2.70177 -0.018065 
1.70735 21614.2 179.982 0 0 0.713128 -0.00838935 0 0 0.193791 -179.914 1 0 221.64 -0.0184893 0 0 9.27473e-009 -90.0185 1.45601e-014 -89.9816 2.16142 179.982 2.70177 -0.01849 
1.74753 21614.2 179.981 0 0 0.713128 -0.00858676 0 0 0.193791 -179.912 1 0 221.64 -0.0189243 0 0 9.49297e-009 -90.0189 1.49028e-014 -89.9811 2.16142 179.981 2.70177 -0.0189251 
1.78865 21614.2 179.981 0 0 0.713128 -0.00878882 0 0 0.193791 -179.91 1 0 221.64 -0.0193696 0 0 9.71635e-009 -90.0194 1.52534e-014 -89.9807 2.16142 179.981 2.70177 -0.0193705 
1.83074 21614.2 179.98 0 0 0.713128 -0.00899563 0 0 0.193791 -179.908 1 0 221.64 -0.0198254 0 0 9.94499e-009 -90.0198 1.56124e-014 -89.9802 2.16142 179.98 2.70177 -0.0198263 
1.87382 21614.2 179.98 0 0 0.713128 -0.0092073 0 0 0.193791 -179.906 1 0 221.64 -0.0202919 0 0 1.0179e-008 -90.0203 1.59797e-014 -89.9798 2.16142 179.98 2.70177 -0.0202928 
1.91791 21614.2 179.979 0 0 0.713128 -0.00942396 0 0 0.193791 -179.903 1 0 221.64 -0.0207694 0 0 1.04185e-008 -90.0208 1.63558e-014 -89.9793 2.16142 179.979 2.70177 -0.0207703 
1.96304 21614.2 179.979 0 0 0.713128 -0.00964572 0 0 0.193791 -179.901 1 0 221.64 -0.0212582 0 0 1.06637e-008 -90.0213 1.67406e-014 -89.9788 2.16142 179.979 2.70177 -0.0212591 
2.00923 21614.2 179.978 0 0 0.713128 -0.00987269 0 0 0.193791 -179.899 1 0 221.64 -0.0217584 0 0 1.09146e-008 -90.0218 1.71346e-014 -89.9783 2.16142 179.978 2.70177 -0.0217593 
2.05651 21614.2 179.978 0 0 0.713128 -0.010105 0 0 0.193791 -179.896 1 0 221.64 -0.0222704 0 0 1.11714e-008 -90.0223 1.75377e-014 -89.9778 2.16142 179.978 2.70177 -0.0222713 
2.1049 21614.2 179.977 0 0 0.713128 -0.0103428 0 0 0.193791 -179.894 1 0 221.64 -0.0227944 0 0 1.14343e-008 -90.0228 1.79504e-014 -89.9773 2.16142 179.977 2.70177 -0.0227954 
2.15443 21614.2 179.977 0 0 0.713128 -0.0105862 0 0 0.193791 -179.892 1 0 221.64 -0.0233308 0 0 1.17034e-008 -90.0233 1.83728e-014 -89.9767 2.16142 179.977 2.70177 -0.0233318 
2.20513 21614.2 179.976 0 0 0.713128 -0.0108353 0 0 0.193791 -179.889 1 0 221.64 -0.0238798 0 0 1.19788e-008 -90.0239 1.88052e-014 -89.9762 2.16142 179.976 2.70177 -0.0238808 
2.25702 21614.2 179.976 0 0 0.713128 -0.0110902 0 0 0.193791 -179.886 1 0 221.64 -0.0244417 0 0 1.22606e-008 -90.0244 1.92477e-014 -89.9756 2.16142 179.976 2.70177 -0.0244428 
2.31013 21614.2 179.975 0 0 0.713128 -0.0113512 0 0 0.193791 -179.884 1 0 221.64 -0.0250169 0 0 1.25491e-008 -90.025 1.97006e-014 -89.9751 2.16142 179.975 2.70177 -0.0250179 
2.36449 21614.2 179.974 0 0 0.713128 -0.0116183 0 0 0.193791 -179.881 1 0 221.64 -0.0256055 0 0 1.28444e-008 -90.0256 2.01641e-014 -89.9745 2.16142 179.974 2.70177 -0.0256066 
2.42013 21614.1 179.974 0 0 0.713128 -0.0118917 0 0 0.193792 -179.878 1 0 221.64 -0.0262081 0 0 1.31467e-008 -90.0262 2.06386e-014 -89.9739 2.16141 179.974 2.70177 -0.0262092 
2.47708 21614.1 179.973 0 0 0.713128 -0.0121715 0 0 0.193792 -179.875 1 0 221.64 -0.0268248 0 0 1.3456e-008 -90.0268 2.11243e-014 -89.9733 2.16141 179.973 2.70177 -0.0268259 
2.53536 21614.1 179.973 0 0 0.713128 -0.0124579 0 0 0.193792 -179.872 1 0 221.64 -0.027456 0 0 1.37727e-008 -90.0275 2.16214e-014 -89.9726 2.16141 179.973 2.70177 -0.0274571 
2.59502 21614.1 179.972 0 0 0.713128 -0.0127511 0 0 0.193792 -179.869 1 0 221.64 -0.028102 0 0 1.40968e-008 -90.0281 2.21301e-014 -89.972 2.16141 179.972 2.70177 -0.0281032 
2.65609 21614.1 179.971 0 0 0.713128 -0.0130511 0 0 0.193792 -179.866 1 0 221.64 -0.0287633 0 0 1.44285e-008 -90.0288 2.26509e-014 -89.9713 2.16141 179.971 2.70177 -0.0287645 
2.71859 21614.1 179.971 0 0 0.713128 -0.0133582 0 0 0.193792 -179.863 1 0 221.64 -0.0294401 0 0 1.4768e-008 -90.0294 2.31839e-014 -89.9707 2.16141 179.971 2.70177 -0.0294414 
2.78256 21614.1 179.97 0 0 0.713128 -0.0136726 0 0 0.193792 -179.86 1 0 221.64 -0.0301329 0 0 1.51155e-008 -90.0301 2.37294e-014 -89.97 2.16141 179.97 2.70177 -0.0301342 
2.84804 21614.1 179.969 0 0 0.713128 -0.0139943 0 0 0.193792 -179.857 1 0 221.64 -0.0308419 0 0 1.54712e-008 -90.0308 2.42878e-014 -89.9693 2.16141 179.969 2.70177 -0.0308433 
2.91505 21614.1 179.968 0 0 0.713128 -0.0143236 0 0 0.193792 -179.853 1 0 221.64 -0.0315677 0 0 1.58352e-008 -90.0316 2.48593e-014 -89.9685 2.16141 179.968 2.70177 -0.031569 
2.98365 21614.1 179.968 0 0 0.713128 -0.0146606 0 0 0.193792 -179.85 1 0 221.64 -0.0323105 0 0 1.62078e-008 -90.0323 2.54443e-014 -89.9678 2.16141 179.968 2.70177 -0.0323119 
3.05386 21614.1 179.967 0 0 0.713128 -0.0150056 0 0 0.193792 -179.846 1 0 221.64 -0.0330708 0 0 1.65892e-008 -90.0331 2.6043e-014 -89.967 2.16141 179.967 2.70177 -0.0330722 
3.12572 21614.1 179.966 0 0 0.713128 -0.0153587 0 0 0.193792 -179.843 1 0 221.64 -0.033849 0 0 1.69796e-008 -90.0339 2.66558e-014 -89.9663 2.16141 179.966 2.70177 -0.0338504 
3.19927 21614.1 179.965 0 0 0.713128 -0.0157201 0 0 0.193792 -179.839 1 0 221.64 -0.0346455 0 0 1.73791e-008 -90.0346 2.72831e-014 -89.9655 2.16141 179.965 2.70177 -0.034647 
3.27455 21614.1 179.965 0 0 0.713128 -0.01609 0 0 0.193792 -179.835 1 0 221.64 -0.0354607 0 0 1.77881e-008 -90.0355 2.79251e-014 -89.9647 2.16141 179.965 2.70177 -0.0354623 
3.3516 21614.1 179.964 0 0 0.713128 -0.0164686 0 0 0.193792 -179.831 1 0 221.64 -0.0362952 0 0 1.82067e-008 -90.0363 2.85822e-014 -89.9638 2.16141 179.964 2.70177 -0.0362967 
3.43047 21614.1 179.963 0 0 0.713128 -0.0168562 0 0 0.193792 -179.827 1 0 221.64 -0.0371492 0 0 1.86351e-008 -90.0372 2.92547e-014 -89.963 2.16141 179.963 2.70177 -0.0371508 
3.51119 21614.1 179.962 0 0 0.713128 -0.0172528 0 0 0.193792 -179.823 1 0 221.64 -0.0380234 0 0 1.90736e-008 -90.038 2.99431e-014 -89.9621 2.16141 179.962 2.70177 -0.038025 
3.59381 21614.1 179.961 0 0 0.713128 -0.0176588 0 0 0.193792 -179.819 1 0 221.64 -0.0389181 0 0 1.95224e-008 -90.0389 3.06477e-014 -89.9612 2.16141 179.961 2.70177 -0.0389198 
3.67838 21614.1 179.96 0 0 0.713128 -0.0180743 0 0 0.193792 -179.815 1 0 221.64 -0.0398339 0 0 1.99818e-008 -90.0398 3.13689e-014 -89.9603 2.16141 179.96 2.70177 -0.0398356 
3.76494 21614.1 179.959 0 0 0.713128 -0.0184996 0 0 0.193792 -179.81 1 0 221.64 -0.0407712 0 0 2.0452e-008 -90.0408 3.2107e-014 -89.9594 2.16141 179.959 2.70177 -0.040773 
3.85353 21614.1 179.958 0 0 0.713128 -0.0189349 0 0 0.193792 -179.806 1 0 221.64 -0.0417306 0 0 2.09332e-008 -90.0417 3.28626e-014 -89.9584 2.16141 179.958 2.70177 -0.0417324 
3.94421 21614.1 179.957 0 0 0.713128 -0.0193805 0 0 0.193793 -179.801 1 0 221.64 -0.0427126 0 0 2.14258e-008 -90.0427 3.36358e-014 -89.9574 2.16141 179.957 2.70177 -0.0427144 
4.03702 21614.1 179.956 0 0 0.713128 -0.0198365 0 0 0.193793 -179.797 1 0 221.64 -0.0437177 0 0 2.193e-008 -90.0437 3.44273e-014 -89.9564 2.16141 179.956 2.70177 -0.0437195 
4.13201 21614.1 179.955 0 0 0.713128 -0.0203033 0 0 0.193793 -179.792 1 0 221.64 -0.0447464 0 0 2.2446e-008 -90.0447 3.52374e-014 -89.9554 2.16141 179.955 2.70177 -0.0447483 
4.22924 21614.1 179.954 0 0 0.713127 -0.0207811 0 0 0.193793 -179.787 1 0 221.64 -0.0457993 0 0 2.29742e-008 -90.0458 3.60666e-014 -89.9544 2.16141 179.954 2.70177 -0.0458013 
4.32876 21614.1 179.953 0 0 0.713127 -0.0212701 0 0 0.193793 -179.782 1 0 221.64 -0.046877 0 0 2.35148e-008 -90.0469 3.69153e-014 -89.9533 2.16141 179.953 2.70177 -0.046879 
4.43062 21614.1 179.952 0 0 0.713127 -0.0217706 0 0 0.193793 -179.777 1 0 221.64 -0.0479801 0 0 2.40681e-008 -90.048 3.7784e-014 -89.9522 2.16141 179.952 2.70177 -0.0479821 
4.53488 21614.1 179.951 0 0 0.713127 -0.0222828 0 0 0.193793 -179.772 1 0 221.64 -0.0491091 0 0 2.46345e-008 -90.0491 3.86731e-014 -89.9511 2.16141 179.951 2.70177 -0.0491112 
4.64159 21614.1 179.95 0 0 0.713127 -0.0228072 0 0 0.193793 -179.766 1 0 221.64 -0.0502647 0 0 2.52142e-008 -90.0503 3.95831e-014 -89.9499 2.16141 179.95 2.70177 -0.0502668 
4.75081 21614.1 179.949 0 0 0.713127 -0.0233439 0 0 0.193793 -179.761 1 0 221.64 -0.0514475 0 0 2.58075e-008 -90.0515 4.05145e-014 -89.9487 2.16141 179.949 2.70177 -0.0514496 
4.8626 21614.1 179.947 0 0 0.713127 -0.0238932 0 0 0.193793 -179.755 1 0 221.64 -0.0526581 0 0 2.64147e-008 -90.0527 4.14679e-014 -89.9475 2.16141 179.947 2.70177 -0.0526603 
4.97702 21614.1 179.946 0 0 0.713127 -0.0244554 0 0 0.193794 -179.749 1 0 221.64 -0.0538972 0 0 2.70363e-008 -90.0539 4.24436e-014 -89.9463 2.16141 179.946 2.70177 -0.0538995 
5.09414 21614.1 179.945 0 0 0.713127 -0.0250309 0 0 0.193794 -179.744 1 0 221.64 -0.0551654 0 0 2.76725e-008 -90.0552 4.34424e-014 -89.945 2.16141 179.945 2.70177 -0.0551678 
5.21401 21614.1 179.944 0 0 0.713127 -0.0256199 0 0 0.193794 -179.738 1 0 221.64 -0.0564635 0 0 2.83237e-008 -90.0565 4.44646e-014 -89.9437 2.16141 179.944 2.70177 -0.0564659 
5.3367 21614.1 179.942 0 0 0.713127 -0.0262227 0 0 0.193794 -179.731 1 0 221.64 -0.0577922 0 0 2.89901e-008 -90.0578 4.55109e-014 -89.9424 2.16141 179.942 2.70177 -0.0577946 
5.46228 21614.1 179.941 0 0 0.713127 -0.0268398 0 0 0.193794 -179.725 1 0 221.64 -0.0591521 0 0 2.96723e-008 -90.0592 4.65819e-014 -89.9411 2.16141 179.941 2.70177 -0.0591546 
5.59081 21614.1 179.939 0 0 0.713127 -0.0274713 0 0 0.193794 -179.719 1 0 221.64 -0.060544 0 0 3.03705e-008 -90.0605 4.7678e-014 -89.9397 2.16141 179.939 2.70177 -0.0605466 
5.72237 21614.1 179.938 0 0 0.713127 -0.0281178 0 0 0.193794 -179.712 1 0 221.64 -0.0619686 0 0 3.10852e-008 -90.062 4.87999e-014 -89.9382 2.16141 179.938 2.70177 -0.0619713 
5.85702 21614.1 179.937 0 0 0.713127 -0.0287794 0 0 0.193795 -179.705 1 0 221.64 -0.0634268 0 0 3.18166e-008 -90.0634 4.99482e-014 -89.9368 2.16141 179.937 2.70177 -0.0634295 
5.99484 21614.1 179.935 0 0 0.713127 -0.0294566 0 0 0.193795 -179.698 1 0 221.64 -0.0649193 0 0 3.25653e-008 -90.0649 5.11235e-014 -89.9353 2.16141 179.935 2.70177 -0.0649221 
6.13591 21614.1 179.934 0 0 0.713127 -0.0301497 0 0 0.193795 -179.691 1 0 221.64 -0.0664469 0 0 3.33316e-008 -90.0665 5.23265e-014 -89.9338 2.16141 179.934 2.70177 -0.0664498 
6.28029 21614.1 179.932 0 0 0.713127 -0.0308592 0 0 0.193795 -179.684 1 0 221.64 -0.0680105 0 0 3.41159e-008 -90.068 5.35578e-014 -89.9322 2.16141 179.932 2.70177 -0.0680134 
6.42807 21614.1 179.93 0 0 0.713127 -0.0315853 0 0 0.193795 -179.676 1 0 221.64 -0.0696109 0 0 3.49187e-008 -90.0696 5.48181e-014 -89.9306 2.16141 179.93 2.70177 -0.0696138 
6.57933 21614.1 179.929 0 0 0.713127 -0.0323286 0 0 0.193796 -179.669 1 0 221.64 -0.0712489 0 0 3.57404e-008 -90.0713 5.6108e-014 -89.929 2.16141 179.929 2.70177 -0.0712519 
6.73415 21614.1 179.927 0 0 0.713127 -0.0330893 0 0 0.193796 -179.661 1 0 221.64 -0.0729254 0 0 3.65814e-008 -90.0729 5.74283e-014 -89.9273 2.16141 179.927 2.70177 -0.0729285 
6.89261 21614.1 179.925 0 0 0.713127 -0.0338679 0 0 0.193796 -179.653 1 0 221.64 -0.0746414 0 0 3.74422e-008 -90.0746 5.87797e-014 -89.9256 2.16141 179.925 2.70177 -0.0746446 
7.0548 21614.1 179.924 0 0 0.713127 -0.0346649 0 0 0.193796 -179.645 1 0 221.64 -0.0763978 0 0 3.83233e-008 -90.0764 6.01628e-014 -89.9239 2.16141 179.924 2.70177 -0.0764011 
7.22081 21614.1 179.922 0 0 0.713127 -0.0354806 0 0 0.193796 -179.637 1 0 221.64 -0.0781955 0 0 3.9225e-008 -90.0782 6.15785e-014 -89.9221 2.16141 179.922 2.70177 -0.0781989 
7.39072 21614.1 179.92 0 0 0.713127 -0.0363155 0 0 0.193797 -179.628 1 0 221.64 -0.0800356 0 0 4.0148e-008 -90.08 6.30276e-014 -89.9202 2.16141 179.92 2.70177 -0.080039 
7.56463 21614.1 179.918 0 0 0.713127 -0.03717 0 0 0.193797 -179.619 1 0 221.64 -0.0819189 0 0 4.10928e-008 -90.0819 6.45107e-014 -89.9184 2.16141 179.918 2.70177 -0.0819224 
7.74264 21614.1 179.916 0 0 0.713127 -0.0380446 0 0 0.193797 -179.61 1 0 221.64 -0.0838465 0 0 4.20597e-008 -90.0839 6.60287e-014 -89.9164 2.16141 179.916 2.70177 -0.0838501 
7.92483 21614.1 179.914 0 0 0.713127 -0.0389399 0 0 0.193798 -179.601 1 0 221.64 -0.0858195 0 0 4.30494e-008 -90.0858 6.75824e-014 -89.9145 2.16141 179.914 2.70177 -0.0858231 
8.11131 21614.1 179.912 0 0 0.713127 -0.0398562 0 0 0.193798 -179.592 1 0 221.64 -0.0878389 0 0 4.40624e-008 -90.0878 6.91727e-014 -89.9125 2.16141 179.912 2.70177 -0.0878426 
8.30218 21614.1 179.91 0 0 0.713127 -0.040794 0 0 0.193798 -179.582 1 0 221.64 -0.0899059 0 0 4.50992e-008 -90.0899 7.08004e-014 -89.9104 2.16141 179.91 2.70177 -0.0899097 
8.49753 21614.1 179.908 0 0 0.713127 -0.0417539 0 0 0.193799 -179.572 1 0 221.64 -0.0920214 0 0 4.61605e-008 -90.092 7.24664e-014 -89.9083 2.16141 179.908 2.70177 -0.0920253 
8.69749 21614.1 179.906 0 0 0.713127 -0.0427365 0 0 0.193799 -179.562 1 0 221.64 -0.0941868 0 0 4.72467e-008 -90.0942 7.41717e-014 -89.9061 2.16141 179.906 2.70177 -0.0941908 
8.90215 21614.1 179.904 0 0 0.713127 -0.0437421 0 0 0.193799 -179.552 1 0 221.64 -0.0964031 0 0 4.83584e-008 -90.0964 7.5917e-014 -89.9039 2.16141 179.904 2.70177 -0.0964072 
9.11163 21614.1 179.901 0 0 0.713127 -0.0447714 0 0 0.1938 -179.541 1 0 221.64 -0.0986715 0 0 4.94964e-008 -90.0987 7.77034e-014 -89.9017 2.16141 179.901 2.70176 -0.0986757 
9.32603 21614.1 179.899 0 0 0.713127 -0.0458249 0 0 0.1938 -179.531 1 0 221.64 -0.100993 0 0 5.06611e-008 -90.101 7.95319e-014 -89.8994 2.16141 179.899 2.70176 -0.100998 
9.54548 21614.1 179.897 0 0 0.713127 -0.0469032 0 0 0.193801 -179.52 1 0 221.64 -0.10337 0 0 5.18532e-008 -90.1034 8.14034e-014 -89.897 2.16141 179.897 2.70176 -0.103374 
9.7701 21614.1 179.894 0 0 0.713127 -0.0480069 0 0 0.193801 -179.508 1 0 221.64 -0.105802 0 0 5.30733e-008 -90.1058 8.33189e-014 -89.8946 2.16141 179.894 2.70176 -0.105807 
10 21614.1 179.892 0 0 0.713127 -0.0491365 0 0 0.193802 -179.497 1 0 221.64 -0.108292 0 0 5.43222e-008 -90.1083 8.52795e-014 -89.8921 2.16141 179.892 2.70176 -0.108296 
10.2353 21614.1 179.889 0 0 0.713127 -0.0502927 0 0 0.193802 -179.485 1 0 221.64 -0.11084 0 0 5.56004e-008 -90.1108 8.72862e-014 -89.8895 2.16141 179.889 2.70176 -0.110845 
10.4762 21614.1 179.887 0 0 0.713127 -0.0514762 0 0 0.193803 -179.473 1 0 221.64 -0.113448 0 0 5.69088e-008 -90.1135 8.93402e-014 -89.8869 2.16141 179.887 2.70176 -0.113453 
10.7227 21614.1 179.884 0 0 0.713127 -0.0526875 0 0 0.193803 -179.46 1 0 221.64 -0.116118 0 0 5.82479e-008 -90.1161 9.14425e-014 -89.8843 2.16141 179.884 2.70176 -0.116123 
10.975 21614.1 179.881 0 0 0.713127 -0.0539272 0 0 0.193804 -179.448 1 0 221.64 -0.11885 0 0 5.96185e-008 -90.1189 9.35943e-014 -89.8816 2.16141 179.881 2.70176 -0.118855 
11.2332 21614.1 179.878 0 0 0.713127 -0.0551962 0 0 0.193804 -179.435 1 0 221.64 -0.121647 0 0 6.10214e-008 -90.1217 9.57966e-014 -89.8788 2.16141 179.878 2.70176 -0.121652 
11.4976 21614.1 179.875 0 0 0.713126 -0.056495 0 0 0.193805 -179.421 1 0 221.64 -0.124509 0 0 6.24573e-008 -90.1245 9.80509e-014 -89.8759 2.16141 179.875 2.70176 -0.124515 
11.7681 21614.1 179.873 0 0 0.713126 -0.0578244 0 0 0.193806 -179.408 1 0 221.64 -0.127439 0 0 6.39269e-008 -90.1274 1.00358e-013 -89.873 2.16141 179.873 2.70176 -0.127445 
12.045 21614.1 179.87 0 0 0.713126 -0.059185 0 0 0.193806 -179.394 1 0 221.64 -0.130438 0 0 6.54312e-008 -90.1304 1.0272e-013 -89.87 2.16141 179.87 2.70176 -0.130443 
12.3285 21614.1 179.866 0 0 0.713126 -0.0605777 0 0 0.193807 -179.379 1 0 221.64 -0.133507 0 0 6.69709e-008 -90.1335 1.05137e-013 -89.867 2.16141 179.866 2.70176 -0.133513 
12.6186 21614.1 179.863 0 0 0.713126 -0.0620032 0 0 0.193808 -179.365 1 0 221.64 -0.136649 0 0 6.85467e-008 -90.1367 1.07611e-013 -89.8638 2.16141 179.863 2.70176 -0.136655 
12.9155 21614.1 179.86 0 0 0.713126 -0.0634622 0 0 0.193809 -179.35 1 0 221.64 -0.139864 0 0 7.01597e-008 -90.1399 1.10143e-013 -89.8606 2.16141 179.86 2.70176 -0.13987 
