f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f jV0500m jV0500f jV0800m jV0800f jV1100m jV1100f jV1300m jV1300f jV1700m jV1700f jV1800m jV1800f 
1 8.72665e-008 90 1 0 607.833 179.999 0.0392953 -0.00168918 1 0 1.0583 6.77357e-005 0.406198 -6.39721e-005 0 0 2.19243 179.999 1.79358 179.999 0 0 1.05008 -180 1 0 1.04397 6.61901e-005 2.17561 -0.00137728 2.14495 179.999 0 0 0 0 0 0 1.02089e-015 89.9999 4.50776e-015 -90.0014 1.6594e-014 -90 5.93917e-014 -90.0014 0.000245766 -0.00138671 
1.02353 8.93199e-008 90 1 0 607.833 179.999 0.0392953 -0.00172893 1 0 1.0583 6.93296e-005 0.406198 -6.54774e-005 0 0 2.19243 179.999 1.79358 179.999 0 0 1.05008 -180 1 0 1.04397 6.77476e-005 2.17561 -0.00140969 2.14495 179.999 0 0 0 0 0 0 1.04491e-015 89.9999 4.61383e-015 -90.0014 1.69845e-014 -90 6.07892e-014 -90.0014 0.000245766 -0.00141934 
1.04762 9.14217e-008 90 1 0 607.833 179.999 0.0392953 -0.00176961 1 0 1.0583 7.0961e-005 0.406198 -6.70182e-005 0 0 2.19243 179.999 1.79358 179.999 0 0 1.05008 -180 1 0 1.04397 6.93418e-005 2.17561 -0.00144286 2.14495 179.999 0 0 0 0 0 0 1.0695e-015 89.9999 4.7224e-015 -90.0014 1.73842e-014 -90 6.22197e-014 -90.0014 0.000245766 -0.00145274 
1.07227 9.3573e-008 90 1 0 607.833 179.999 0.0392953 -0.00181125 1 0 1.0583 7.26307e-005 0.406198 -6.85952e-005 0 0 2.19243 179.999 1.79358 179.999 0 0 1.05008 -180 1 0 1.04397 7.09735e-005 2.17561 -0.00147682 2.14495 179.999 0 0 0 0 0 0 1.09466e-015 89.9999 4.83352e-015 -90.0015 1.77932e-014 -90 6.36838e-014 -90.0015 0.000245766 -0.00148693 
1.0975 9.57748e-008 90 1 0 607.833 179.998 0.0392953 -0.00185387 1 0 1.0583 7.43398e-005 0.406198 -7.02093e-005 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 7.26435e-005 2.17561 -0.00151157 2.14495 179.998 0 0 0 0 0 0 1.12042e-015 89.9999 4.94726e-015 -90.0015 1.82119e-014 -90 6.51823e-014 -90.0015 0.000245766 -0.00152192 
1.12332 9.80285e-008 90 1 0 607.833 179.998 0.0392953 -0.0018975 1 0 1.0583 7.60891e-005 0.406198 -7.18614e-005 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 7.43529e-005 2.17561 -0.00154714 2.14495 179.998 0 0 0 0 0 0 1.14679e-015 89.9999 5.06368e-015 -90.0015 1.86405e-014 -90 6.67161e-014 -90.0015 0.000245766 -0.00155773 
1.14976 1.00335e-007 90 1 0 607.833 179.998 0.0392953 -0.00194215 1 0 1.0583 7.78796e-005 0.406198 -7.35524e-005 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 7.61025e-005 2.17561 -0.00158354 2.14495 179.998 0 0 0 0 0 0 1.17377e-015 89.9999 5.18283e-015 -90.0016 1.90791e-014 -90 6.8286e-014 -90.0016 0.000245766 -0.00159438 
1.17681 1.02696e-007 90 1 0 607.833 179.998 0.0392953 -0.00198785 1 0 1.0583 7.97121e-005 0.406198 -7.52831e-005 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 7.78933e-005 2.17561 -0.0016208 2.14495 179.998 0 0 0 0 0 0 1.20139e-015 89.9999 5.30479e-015 -90.0016 1.95281e-014 -90 6.98928e-014 -90.0016 0.000245766 -0.0016319 
1.2045 1.05113e-007 90 1 0 607.833 179.998 0.0392953 -0.00203462 1 0 1.0583 8.15879e-005 0.406198 -7.70546e-005 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 7.97262e-005 2.17561 -0.00165894 2.14495 179.998 0 0 0 0 0 0 1.22966e-015 89.9999 5.42961e-015 -90.0017 1.99876e-014 -90 7.15375e-014 -90.0017 0.000245766 -0.0016703 
1.23285 1.07586e-007 90 1 0 607.833 179.998 0.0392953 -0.0020825 1 0 1.0583 8.35077e-005 0.406198 -7.88678e-005 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 8.16022e-005 2.17561 -0.00169798 2.14495 179.998 0 0 0 0 0 0 1.2586e-015 89.9999 5.55738e-015 -90.0017 2.04579e-014 -89.9999 7.32208e-014 -90.0017 0.000245766 -0.00170961 
1.26186 1.10118e-007 90 1 0 607.833 179.998 0.0392953 -0.0021315 1 0 1.0583 8.54727e-005 0.406198 -8.07236e-005 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 8.35224e-005 2.17561 -0.00173794 2.14495 179.998 0 0 0 0 0 0 1.28821e-015 89.9999 5.68815e-015 -90.0017 2.09393e-014 -89.9999 7.49438e-014 -90.0017 0.000245766 -0.00174983 
1.29155 1.12709e-007 90 1 0 607.833 179.998 0.0392953 -0.00218166 1 0 1.0583 8.7484e-005 0.406198 -8.26231e-005 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 8.54878e-005 2.17561 -0.00177883 2.14495 179.998 0 0 0 0 0 0 1.31853e-015 89.9999 5.822e-015 -90.0018 2.1432e-014 -89.9999 7.67073e-014 -90.0018 0.000245766 -0.00179101 
1.32194 1.15361e-007 90 1 0 607.833 179.998 0.0392953 -0.00223299 1 0 1.0583 8.95426e-005 0.406198 -8.45673e-005 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 8.74994e-005 2.17561 -0.00182069 2.14495 179.998 0 0 0 0 0 0 1.34955e-015 89.9999 5.95899e-015 -90.0018 2.19363e-014 -89.9999 7.85123e-014 -90.0018 0.000245766 -0.00183315 
1.35305 1.18076e-007 90 1 0 607.833 179.998 0.0392953 -0.00228554 1 0 1.0583 9.16496e-005 0.406198 -8.65573e-005 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 8.95584e-005 2.17561 -0.00186353 2.14495 179.998 0 0 0 0 0 0 1.38131e-015 89.9999 6.09922e-015 -90.0019 2.24525e-014 -89.9999 8.03598e-014 -90.0019 0.000245766 -0.00187629 
1.38489 1.20854e-007 90 1 0 607.833 179.998 0.0392953 -0.00233932 1 0 1.0583 9.38062e-005 0.406198 -8.85941e-005 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 9.16658e-005 2.17561 -0.00190738 2.14495 179.998 0 0 0 0 0 0 1.41381e-015 89.9999 6.24274e-015 -90.0019 2.29809e-014 -89.9999 8.22507e-014 -90.0019 0.000245766 -0.00192044 
1.41747 1.23698e-007 90 1 0 607.833 179.998 0.0392953 -0.00239437 1 0 1.0583 9.60136e-005 0.406198 -9.06788e-005 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 9.38227e-005 2.17561 -0.00195226 2.14495 179.998 0 0 0 0 0 0 1.44708e-015 89.9999 6.38963e-015 -90.0019 2.35216e-014 -89.9999 8.41862e-014 -90.0019 0.000245766 -0.00196563 
1.45083 1.26609e-007 90 1 0 607.833 179.998 0.0392953 -0.00245071 1 0 1.0583 9.82729e-005 0.406198 -9.28126e-005 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 9.60305e-005 2.17561 -0.0019982 2.14495 179.998 0 0 0 0 0 0 1.48113e-015 89.9999 6.53999e-015 -90.002 2.40751e-014 -89.9999 8.61672e-014 -90.002 0.000245766 -0.00201188 
1.48497 1.29588e-007 90 1 0 607.833 179.998 0.0392953 -0.00250838 1 0 1.0583 0.000100585 0.406198 -9.49965e-005 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 9.82902e-005 2.17561 -0.00204522 2.14495 179.998 0 0 0 0 0 0 1.51598e-015 89.9999 6.69388e-015 -90.002 2.46416e-014 -89.9999 8.81948e-014 -90.002 0.000245766 -0.00205923 
1.51991 1.32637e-007 90 1 0 607.833 179.998 0.0392953 -0.0025674 1 0 1.0583 0.000102952 0.406198 -9.72319e-005 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 0.000100603 2.17561 -0.00209335 2.14495 179.998 0 0 0 0 0 0 1.55166e-015 89.9999 6.85139e-015 -90.0021 2.52215e-014 -89.9999 9.02701e-014 -90.0021 0.000245766 -0.00210768 
1.55568 1.35758e-007 90 1 0 607.833 179.998 0.0392953 -0.00262782 1 0 1.0583 0.000105375 0.406198 -9.95199e-005 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 0.00010297 2.17561 -0.00214261 2.14495 179.998 0 0 0 0 0 0 1.58817e-015 89.9999 7.01262e-015 -90.0021 2.5815e-014 -89.9999 9.23942e-014 -90.0021 0.000245766 -0.00215728 
1.59228 1.38953e-007 90 1 0 607.833 179.998 0.0392953 -0.00268965 1 0 1.0583 0.000107854 0.406198 -0.000101862 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 0.000105393 2.17561 -0.00219303 2.14495 179.998 0 0 0 0 0 0 1.62554e-015 89.9999 7.17763e-015 -90.0022 2.64224e-014 -89.9999 9.45684e-014 -90.0022 0.000245766 -0.00220804 
1.62975 1.42223e-007 90 1 0 607.833 179.998 0.0392953 -0.00275294 1 0 1.0583 0.000110392 0.406198 -0.000104259 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 0.000107873 2.17561 -0.00224463 2.14495 179.998 0 0 0 0 0 0 1.66379e-015 89.9999 7.34653e-015 -90.0022 2.70442e-014 -89.9999 9.67936e-014 -90.0022 0.000245766 -0.00226 
1.6681 1.45569e-007 90 1 0 607.833 179.998 0.0392953 -0.00281772 1 0 1.0583 0.00011299 0.406198 -0.000106712 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 0.000110412 2.17561 -0.00229745 2.14495 179.998 0 0 0 0 0 0 1.70294e-015 89.9999 7.5194e-015 -90.0023 2.76805e-014 -89.9999 9.90713e-014 -90.0023 0.000245766 -0.00231318 
1.70735 1.48995e-007 90 1 0 607.833 179.998 0.0392953 -0.00288402 1 0 1.0583 0.000115649 0.406198 -0.000109223 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 0.00011301 2.17561 -0.00235151 2.14495 179.998 0 0 0 0 0 0 1.74301e-015 89.9999 7.69634e-015 -90.0023 2.83319e-014 -89.9999 1.01403e-013 -90.0023 0.000245766 -0.00236761 
1.74753 1.52501e-007 90 1 0 607.833 179.998 0.0392953 -0.00295189 1 0 1.0583 0.00011837 0.406198 -0.000111793 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 0.000115669 2.17561 -0.00240684 2.14495 179.998 0 0 0 0 0 0 1.78403e-015 89.9999 7.87744e-015 -90.0024 2.89986e-014 -89.9999 1.03789e-013 -90.0024 0.000245766 -0.00242332 
1.78865 1.56089e-007 90 1 0 607.833 179.998 0.0392953 -0.00302135 1 0 1.0583 0.000121155 0.406198 -0.000114424 0 0 2.19243 179.998 1.79358 179.998 0 0 1.05008 -180 1 0 1.04397 0.000118391 2.17561 -0.00246348 2.14495 179.998 0 0 0 0 0 0 1.82601e-015 89.9999 8.0628e-015 -90.0025 2.96809e-014 -89.9999 1.06231e-013 -90.0025 0.000245766 -0.00248035 
1.83074 1.59762e-007 90 1 0 607.833 179.997 0.0392953 -0.00309244 1 0 1.0583 0.000124006 0.406198 -0.000117116 0 0 2.19243 179.997 1.79358 179.997 0 0 1.05008 -180 1 0 1.04397 0.000121177 2.17561 -0.00252145 2.14495 179.997 0 0 0 0 0 0 1.86898e-015 89.9999 8.25253e-015 -90.0025 3.03793e-014 -89.9999 1.08731e-013 -90.0025 0.000245766 -0.00253871 
1.87382 1.63521e-007 90 1 0 607.833 179.997 0.0392953 -0.00316521 1 0 1.0583 0.000126924 0.406198 -0.000119872 0 0 2.19243 179.997 1.79358 179.997 0 0 1.05008 -180 1 0 1.04397 0.000124028 2.17561 -0.00258078 2.14495 179.997 0 0 0 0 0 0 1.91295e-015 89.9999 8.44672e-015 -90.0026 3.10942e-014 -89.9999 1.11289e-013 -90.0026 0.000245766 -0.00259845 
1.91791 1.67369e-007 90 1 0 607.833 179.997 0.0392953 -0.00323969 1 0 1.0583 0.000129911 0.406198 -0.000122693 0 0 2.19243 179.997 1.79358 179.997 0 0 1.05008 -180 1 0 1.04397 0.000126947 2.17561 -0.00264151 2.14495 179.997 0 0 0 0 0 0 1.95797e-015 89.9999 8.64548e-015 -90.0026 3.18259e-014 -89.9999 1.13908e-013 -90.0026 0.000245766 -0.00265959 
1.96304 1.71308e-007 90 1 0 607.833 179.997 0.0392953 -0.00331593 1 0 1.0583 0.000132968 0.406198 -0.00012558 0 0 2.19243 179.997 1.79358 179.997 0 0 1.05008 -180 1 0 1.04397 0.000129934 2.17561 -0.00270366 2.14495 179.997 0 0 0 0 0 0 2.00404e-015 89.9999 8.84892e-015 -90.0027 3.25748e-014 -89.9999 1.16588e-013 -90.0027 0.000245766 -0.00272218 
2.00923 1.75339e-007 90 1 0 607.833 179.997 0.0392953 -0.00339395 1 0 1.0583 0.000136097 0.406198 -0.000128535 0 0 2.19243 179.997 1.79358 179.997 0 0 1.05008 -180 1 0 1.04397 0.000132991 2.17561 -0.00276728 2.14495 179.997 0 0 0 0 0 0 2.0512e-015 89.9999 9.05714e-015 -90.0028 3.33413e-014 -89.9999 1.19332e-013 -90.0028 0.000245766 -0.00278623 
2.05651 1.79465e-007 90 1 0 607.833 179.997 0.0392953 -0.00347382 1 0 1.0583 0.000139299 0.406198 -0.000131559 0 0 2.19243 179.997 1.79358 179.997 0 0 1.05008 -180 1 0 1.04397 0.000136121 2.17561 -0.0028324 2.14495 179.997 0 0 0 0 0 0 2.09947e-015 89.9999 9.27026e-015 -90.0028 3.41258e-014 -89.9999 1.2214e-013 -90.0028 0.000245766 -0.00285179 
2.1049 1.83688e-007 90 1 0 607.833 179.997 0.0392953 -0.00355556 1 0 1.0583 0.000142577 0.406198 -0.000134655 0 0 2.19243 179.997 1.79358 179.997 0 0 1.05008 -180 1 0 1.04397 0.000139324 2.17561 -0.00289905 2.14495 179.997 0 0 0 0 0 0 2.14887e-015 89.9999 9.4884e-015 -90.0029 3.49289e-014 -89.9999 1.25014e-013 -90.0029 0.000245766 -0.0029189 
2.15443 1.8801e-007 90 1 0 607.833 179.997 0.0392953 -0.00363923 1 0 1.0583 0.000145932 0.406198 -0.000137824 0 0 2.19243 179.997 1.79358 179.997 0 0 1.05008 -180 1 0 1.04397 0.000142602 2.17561 -0.00296727 2.14495 179.997 0 0 0 0 0 0 2.19943e-015 89.9999 9.71168e-015 -90.003 3.57508e-014 -89.9999 1.27956e-013 -90.003 0.000245766 -0.00298758 
2.20513 1.92434e-007 90 1 0 607.833 179.997 0.0392953 -0.00372486 1 0 1.0583 0.000149366 0.406198 -0.000141067 0 0 2.19243 179.997 1.79358 179.997 0 0 1.05008 -180 1 0 1.04397 0.000145958 2.17561 -0.00303709 2.14495 179.997 0 0 0 0 0 0 2.25119e-015 89.9999 9.9402e-015 -90.003 3.6592e-014 -89.9999 1.30966e-013 -90.003 0.000245766 -0.00305789 
2.25702 1.96962e-007 90 1 0 607.833 179.997 0.0392953 -0.00381251 1 0 1.0583 0.000152881 0.406198 -0.000144386 0 0 2.19243 179.997 1.79358 179.997 0 0 1.05008 -180 1 0 1.04397 0.000149392 2.17561 -0.00310856 2.14495 179.997 0 0 0 0 0 0 2.30416e-015 89.9999 1.01741e-014 -90.0031 3.74531e-014 -89.9999 1.34048e-013 -90.0031 0.000245766 -0.00312984 
2.31013 2.01597e-007 90 1 0 607.833 179.997 0.0392953 -0.00390222 1 0 1.0583 0.000156478 0.406198 -0.000147784 0 0 2.19243 179.997 1.79358 179.997 0 0 1.05008 -180 1 0 1.04397 0.000152908 2.17561 -0.0031817 2.14495 179.997 0 0 0 0 0 0 2.35838e-015 89.9999 1.04135e-014 -90.0032 3.83344e-014 -89.9999 1.37202e-013 -90.0032 0.000245766 -0.00320349 
2.36449 2.06341e-007 90 1 0 607.833 179.997 0.0392953 -0.00399405 1 0 1.0583 0.00016016 0.406198 -0.000151261 0 0 2.19243 179.997 1.79358 179.997 0 0 1.05008 -180 1 0 1.04397 0.000156506 2.17561 -0.00325657 2.14495 179.997 0 0 0 0 0 0 2.41388e-015 89.9998 1.06586e-014 -90.0032 3.92364e-014 -89.9999 1.40431e-013 -90.0032 0.000245766 -0.00327887 
2.42013 2.11196e-007 90 1 0 607.833 179.997 0.0392953 -0.00408803 1 0 1.0583 0.000163929 0.406198 -0.000154821 0 0 2.19243 179.997 1.79358 179.997 0 0 1.05008 -180 1 0 1.04397 0.000160189 2.17561 -0.0033332 2.14495 179.997 0 0 0 0 0 0 2.47068e-015 89.9998 1.09094e-014 -90.0033 4.01597e-014 -89.9999 1.43735e-013 -90.0033 0.000245766 -0.00335603 
2.47708 2.16166e-007 90 1 0 607.833 179.997 0.0392953 -0.00418422 1 0 1.0583 0.000167786 0.406198 -0.000158464 0 0 2.19243 179.997 1.79358 179.997 0 0 1.05008 -180 1 0 1.04397 0.000163958 2.17561 -0.00341164 2.14495 179.997 0 0 0 0 0 0 2.52881e-015 89.9998 1.11661e-014 -90.0034 4.11047e-014 -89.9999 1.47118e-013 -90.0034 0.000245766 -0.003435 
2.53536 2.21252e-007 90 1 0 607.833 179.997 0.0392953 -0.00428268 1 0 1.0583 0.000171735 0.406198 -0.000162193 0 0 2.19243 179.997 1.79358 179.997 0 0 1.05008 -180 1 0 1.04397 0.000167816 2.17561 -0.00349192 2.14495 179.997 0 0 0 0 0 0 2.58832e-015 89.9998 1.14288e-014 -90.0035 4.20719e-014 -89.9999 1.5058e-013 -90.0035 0.000245766 -0.00351583 
2.59502 2.26459e-007 90 1 0 607.833 179.996 0.0392953 -0.00438346 1 0 1.0583 0.000175776 0.406198 -0.000166009 0 0 2.19243 179.996 1.79358 179.996 0 0 1.05008 -180 1 0 1.04397 0.000171765 2.17561 -0.00357409 2.14495 179.996 0 0 0 0 0 0 2.64923e-015 89.9998 1.16977e-014 -90.0036 4.30619e-014 -89.9999 1.54123e-013 -90.0036 0.000245766 -0.00359856 
2.65609 2.31787e-007 90 1 0 607.833 179.996 0.0392953 -0.00448661 1 0 1.0583 0.000179912 0.406198 -0.000169915 0 0 2.19243 179.996 1.79358 179.996 0 0 1.05008 -180 1 0 1.04397 0.000175807 2.17561 -0.00365819 2.14495 179.996 0 0 0 0 0 0 2.71156e-015 89.9998 1.1973e-014 -90.0036 4.40752e-014 -89.9999 1.5775e-013 -90.0036 0.000245766 -0.00368323 
2.71859 2.37242e-007 90 1 0 607.833 179.996 0.0392953 -0.00459218 1 0 1.0583 0.000184145 0.406198 -0.000173914 0 0 2.19243 179.996 1.79358 179.996 0 0 1.05008 -180 1 0 1.04397 0.000179944 2.17561 -0.00374427 2.14495 179.996 0 0 0 0 0 0 2.77537e-015 89.9998 1.22547e-014 -90.0037 4.51124e-014 -89.9999 1.61462e-013 -90.0037 0.000245766 -0.0037699 
2.78256 2.42824e-007 90 1 0 607.833 179.996 0.0392953 -0.00470024 1 0 1.0583 0.000188479 0.406198 -0.000178006 0 0 2.19243 179.996 1.79358 179.996 0 0 1.05008 -180 1 0 1.04397 0.000184178 2.17561 -0.00383237 2.14495 179.996 0 0 0 0 0 0 2.84068e-015 89.9998 1.25431e-014 -90.0038 4.61739e-014 -89.9999 1.65261e-013 -90.0038 0.000245766 -0.00385861 
2.84804 2.48538e-007 90 1 0 607.833 179.996 0.0392953 -0.00481084 1 0 1.0583 0.000192914 0.406198 -0.000182195 0 0 2.19243 179.996 1.79358 179.996 0 0 1.05008 -180 1 0 1.04397 0.000188512 2.17561 -0.00392255 2.14495 179.996 0 0 0 0 0 0 2.90752e-015 89.9998 1.28383e-014 -90.0039 4.72604e-014 -89.9999 1.6915e-013 -90.0039 0.000245766 -0.00394941 
