f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f jV0500m jV0500f jV0800m jV0800f jV1000m jV1000f jV1400m jV1400f jV1500m jV1500f 
1 0.484519 -179.999 0.999241 -2.17443e-006 0.00221824 0.00107496 0.781943 -1.08646e-006 0 0 0.00177155 -179.999 0.00140925 -179.999 0 0 0.002201 -179.999 1 0 0.000533554 179.996 0.00175796 0.00139257 0.00173333 -179.999 0 0 0 0 1.96524e-015 90 3.54184e-018 -89.9986 6.72043e-015 -90 4.7389e-017 -89.9986 3.23972e-007 -180 
1.02353 0.484519 -179.999 0.999241 -2.2256e-006 0.00221824 0.00110025 0.781943 -1.11203e-006 0 0 0.00177155 -179.999 0.00140925 -179.999 0 0 0.002201 -179.999 1 0 0.000533554 179.995 0.00175796 0.00142534 0.00173333 -179.999 0 0 0 0 2.01148e-015 90 3.62518e-018 -89.9986 6.87857e-015 -90 4.85041e-017 -89.9986 3.23972e-007 -180 
1.04762 0.484519 -179.999 0.999241 -2.27797e-006 0.00221824 0.00112614 0.781943 -1.1382e-006 0 0 0.00177155 -179.999 0.00140925 -179.999 0 0 0.002201 -179.999 1 0 0.000533554 179.995 0.00175796 0.00145888 0.00173333 -179.999 0 0 0 0 2.05881e-015 90 3.71049e-018 -89.9985 7.04043e-015 -90 4.96455e-017 -89.9985 3.23972e-007 -180 
1.07227 0.484519 -179.999 0.999241 -2.33157e-006 0.00221824 0.00115264 0.781943 -1.16498e-006 0 0 0.00177155 -179.999 0.00140925 -179.999 0 0 0.002201 -179.999 1 0 0.000533554 179.995 0.00175796 0.00149321 0.00173333 -179.999 0 0 0 0 2.10726e-015 90 3.7978e-018 -89.9985 7.2061e-015 -90 5.08137e-017 -89.9985 3.23972e-007 -180 
1.0975 0.484519 -179.998 0.999241 -2.38644e-006 0.00221824 0.00117976 0.781943 -1.19239e-006 0 0 0.00177155 -179.998 0.00140925 -179.998 0 0 0.002201 -179.999 1 0 0.000533554 179.995 0.00175796 0.00152834 0.00173333 -179.998 0 0 0 0 2.15684e-015 90 3.88717e-018 -89.9985 7.37566e-015 -90 5.20094e-017 -89.9985 3.23972e-007 -180 
1.12332 0.484519 -179.998 0.999241 -2.44259e-006 0.00221824 0.00120752 0.781943 -1.22045e-006 0 0 0.00177155 -179.998 0.00140925 -179.998 0 0 0.002201 -179.999 1 0 0.000533554 179.995 0.00175796 0.00156431 0.00173333 -179.998 0 0 0 0 2.2076e-015 90 3.97864e-018 -89.9984 7.54922e-015 -90 5.32332e-017 -89.9984 3.23972e-007 -180 
1.14976 0.484519 -179.998 0.999241 -2.50007e-006 0.00221824 0.00123594 0.781943 -1.24917e-006 0 0 0.00177155 -179.998 0.00140925 -179.998 0 0 0.002201 -179.999 1 0 0.000533554 179.995 0.00175796 0.00160112 0.00173333 -179.998 0 0 0 0 2.25954e-015 90 4.07226e-018 -89.9984 7.72686e-015 -90 5.44859e-017 -89.9984 3.23972e-007 -180 
1.17681 0.484519 -179.998 0.999241 -2.5589e-006 0.00221824 0.00126502 0.781943 -1.27856e-006 0 0 0.00177155 -179.998 0.00140925 -179.998 0 0 0.002201 -179.999 1 0 0.000533554 179.995 0.00175796 0.00163879 0.00173333 -179.998 0 0 0 0 2.31271e-015 90 4.16808e-018 -89.9984 7.90868e-015 -90 5.5768e-017 -89.9984 3.23972e-007 -180 
1.2045 0.484519 -179.998 0.999241 -2.61911e-006 0.00221824 0.00129479 0.781943 -1.30865e-006 0 0 0.00177155 -179.998 0.00140925 -179.998 0 0 0.002201 -179.999 1 0 0.000533554 179.995 0.00175796 0.00167736 0.00173333 -179.998 0 0 0 0 2.36713e-015 90 4.26616e-018 -89.9983 8.09478e-015 -90 5.70802e-017 -89.9983 3.23972e-007 -180 
1.23285 0.484519 -179.998 0.999241 -2.68074e-006 0.00221824 0.00132526 0.781943 -1.33944e-006 0 0 0.00177155 -179.998 0.00140925 -179.998 0 0 0.002201 -179.999 1 0 0.000533554 179.995 0.00175796 0.00171683 0.00173333 -179.998 0 0 0 0 2.42284e-015 90 4.36655e-018 -89.9983 8.28526e-015 -90 5.84234e-017 -89.9983 3.23972e-007 -180 
