f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f jL1m jL1f jL2m jL2f jV0500m jV0500f jV0600m jV0600f jV0700m jV0700f jV0200m jV0200f 
1 0.000204591 -90.0004 0 0 2.27324e-005 89.9997 0.445697 2.31908e-006 0 0 1 0 0 180 0.00361797 180 2.04591e-009 89.9996 1.12016e-012 90 9.67807e-011 -90 7.57975e-011 90 1.11424e-005 180 
1.02353 0.000209405 -90.0004 0 0 2.32673e-005 89.9997 0.445697 2.37365e-006 0 0 1 0 0 180 0.00361797 180 2.09405e-009 89.9996 1.14652e-012 90 9.9058e-011 -90 7.75811e-011 90 1.11424e-005 180 
1.04762 0.000214333 -90.0004 0 0 2.38148e-005 89.9997 0.445697 2.4295e-006 0 0 1 0 0 180 0.00361797 180 2.14333e-009 89.9996 1.1735e-012 90 1.01389e-010 -90 7.94066e-011 90 1.11424e-005 180 
1.07227 0.000219376 -90.0004 0 0 2.43752e-005 89.9997 0.445697 2.48667e-006 0 0 1 0 0 180 0.00361797 180 2.19376e-009 89.9996 1.20111e-012 90 1.03775e-010 -90 8.12751e-011 90 1.11424e-005 180 
1.0975 0.000224539 -90.0004 0 0 2.49487e-005 89.9997 0.445697 2.54518e-006 0 0 1 0 0 180 0.00361797 180 2.24539e-009 89.9996 1.22937e-012 90 1.06217e-010 -90 8.31876e-011 90 1.11424e-005 180 
1.12332 0.000229822 -90.0004 0 0 2.55358e-005 89.9997 0.445697 2.60508e-006 0 0 1 0 0 180 0.00361797 180 2.29822e-009 89.9996 1.2583e-012 90 1.08716e-010 -90 8.51451e-011 90.0001 1.11424e-005 180 
1.14976 0.00023523 -90.0004 0 0 2.61367e-005 89.9997 0.445697 2.66638e-006 0 0 1 0 0 180 0.00361797 180 2.3523e-009 89.9996 1.28791e-012 90 1.11274e-010 -90 8.71487e-011 90.0001 1.11424e-005 180 
1.17681 0.000240765 -90.0004 0 0 2.67517e-005 89.9997 0.445697 2.72912e-006 0 0 1 0 0 180 0.00361797 180 2.40765e-009 89.9996 1.31822e-012 90 1.13893e-010 -90 8.91994e-011 90.0001 1.11424e-005 180 
1.2045 0.000246431 -90.0004 0 0 2.73812e-005 89.9996 0.445697 2.79334e-006 0 0 1 0 0 180 0.00361797 180 2.46431e-009 89.9996 1.34924e-012 90 1.16573e-010 -90 9.12983e-011 90.0001 1.11424e-005 180 
1.23285 0.00025223 -90.0004 0 0 2.80255e-005 89.9996 0.445697 2.85907e-006 0 0 1 0 0 180 0.00361797 180 2.5223e-009 89.9996 1.38099e-012 90 1.19316e-010 -90 9.34467e-011 90.0001 1.11424e-005 180 
1.26186 0.000258165 -90.0005 0 0 2.8685e-005 89.9996 0.445697 2.92634e-006 0 0 1 0 0 180 0.00361797 180 2.58165e-009 89.9995 1.41348e-012 90 1.22123e-010 -90 9.56456e-011 90.0001 1.11424e-005 180 
1.29155 0.00026424 -90.0005 0 0 2.936e-005 89.9996 0.445697 2.9952e-006 0 0 1 0 0 180 0.00361797 180 2.6424e-009 89.9995 1.44674e-012 90 1.24997e-010 -90 9.78962e-011 90.0001 1.11424e-005 180 
1.32194 0.000270458 -90.0005 0 0 3.00508e-005 89.9996 0.445697 3.06568e-006 0 0 1 0 0 180 0.00361797 180 2.70458e-009 89.9995 1.48079e-012 90 1.27938e-010 -90 1.002e-010 90.0001 1.11424e-005 180 
1.35305 0.000276822 -90.0005 0 0 3.0758e-005 89.9996 0.445697 3.13782e-006 0 0 1 0 0 180 0.00361797 180 2.76822e-009 89.9995 1.51563e-012 90 1.30949e-010 -90 1.02558e-010 90.0001 1.11424e-005 180 
1.38489 0.000283336 -90.0005 0 0 3.14817e-005 89.9996 0.445697 3.21166e-006 0 0 1 0 0 180 0.00361797 180 2.83336e-009 89.9995 1.55129e-012 90 1.3403e-010 -90 1.04971e-010 90.0001 1.11424e-005 180 
1.41747 0.000290003 -90.0005 0 0 3.22225e-005 89.9996 0.445697 3.28723e-006 0 0 1 0 0 180 0.00361797 180 2.90003e-009 89.9995 1.5878e-012 90 1.37184e-010 -90 1.07441e-010 90.0001 1.11424e-005 180 
1.45083 0.000296827 -90.0005 0 0 3.29808e-005 89.9996 0.445697 3.36458e-006 0 0 1 0 0 180 0.00361797 180 2.96827e-009 89.9995 1.62516e-012 90 1.40412e-010 -90 1.09969e-010 90.0001 1.11424e-005 180 
1.48497 0.000303811 -90.0005 0 0 3.37568e-005 89.9996 0.445697 3.44376e-006 0 0 1 0 0 180 0.00361797 180 3.03811e-009 89.9995 1.6634e-012 90 1.43716e-010 -90 1.12557e-010 90.0001 1.11424e-005 180 
1.51991 0.00031096 -90.0006 0 0 3.45512e-005 89.9996 0.445697 3.52479e-006 0 0 1 0 0 180 0.00361797 180 3.1096e-009 89.9994 1.70254e-012 90 1.47098e-010 -90 1.15205e-010 90.0001 1.11424e-005 180 
1.55568 0.000318278 -90.0006 0 0 3.53642e-005 89.9995 0.445697 3.60773e-006 0 0 1 0 0 180 0.00361797 180 3.18278e-009 89.9994 1.74261e-012 90 1.50559e-010 -90 1.17916e-010 90.0001 1.11424e-005 180 
1.59228 0.000325767 -90.0006 0 0 3.61963e-005 89.9995 0.445697 3.69263e-006 0 0 1 0 0 180 0.00361797 180 3.25767e-009 89.9994 1.78361e-012 90 1.54102e-010 -90 1.20691e-010 90.0001 1.11424e-005 180 
1.62975 0.000333433 -90.0006 0 0 3.70481e-005 89.9995 0.445697 3.77952e-006 0 0 1 0 0 180 0.00361797 180 3.33433e-009 89.9994 1.82558e-012 90 1.57728e-010 -90 1.23531e-010 90.0001 1.11424e-005 180 
1.6681 0.000341279 -90.0006 0 0 3.79199e-005 89.9995 0.445697 3.86845e-006 0 0 1 0 0 180 0.00361797 180 3.41279e-009 89.9994 1.86854e-012 90 1.6144e-010 -90 1.26438e-010 90.0001 1.11424e-005 180 
1.70735 0.000349309 -90.0006 0 0 3.88121e-005 89.9995 0.445697 3.95948e-006 0 0 1 0 0 180 0.00361797 180 3.49309e-009 89.9994 1.91251e-012 90 1.65239e-010 -90 1.29413e-010 90.0001 1.11424e-005 180 
1.74753 0.000357529 -90.0006 0 0 3.97254e-005 89.9995 0.445697 4.05265e-006 0 0 1 0 0 180 0.00361797 180 3.57529e-009 89.9994 1.95751e-012 90 1.69127e-010 -90 1.32458e-010 90.0001 1.11424e-005 180 
1.78865 0.000365942 -90.0006 0 0 4.06602e-005 89.9995 0.445697 4.14802e-006 0 0 1 0 0 180 0.00361797 180 3.65942e-009 89.9994 2.00357e-012 90 1.73107e-010 -90 1.35575e-010 90.0001 1.11424e-005 180 
1.83074 0.000374553 -90.0007 0 0 4.1617e-005 89.9995 0.445697 4.24562e-006 0 0 1 0 0 180 0.00361797 180 3.74553e-009 89.9993 2.05072e-012 90 1.7718e-010 -90 1.38765e-010 90.0001 1.11424e-005 180 
1.87382 0.000383367 -90.0007 0 0 4.25963e-005 89.9994 0.445697 4.34553e-006 0 0 1 0 0 180 0.00361797 180 3.83367e-009 89.9993 2.09897e-012 90 1.81349e-010 -90 1.42031e-010 90.0001 1.11424e-005 180 
1.91791 0.000392388 -90.0007 0 0 4.35986e-005 89.9994 0.445697 4.44778e-006 0 0 1 0 0 180 0.00361797 180 3.92388e-009 89.9993 2.14837e-012 90 1.85617e-010 -90 1.45373e-010 90.0001 1.11424e-005 180 
1.96304 0.000401621 -90.0007 0 0 4.46245e-005 89.9994 0.445697 4.55244e-006 0 0 1 0 0 180 0.00361797 180 4.01621e-009 89.9993 2.19892e-012 90 1.89984e-010 -90 1.48794e-010 90.0001 1.11424e-005 180 
2.00923 0.000411071 -90.0007 0 0 4.56746e-005 89.9994 0.445697 4.65957e-006 0 0 1 0 0 180 0.00361797 180 4.11071e-009 89.9993 2.25066e-012 90 1.94455e-010 -90 1.52295e-010 90.0001 1.11424e-005 180 
