f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f 17m 17f 18m 18f 19m 19f 20m 20f 21m 21f 22m 22f 23m 23f 24m 24f jV0013m jV0013f jV0014m jV0014f jV0015m jV0015f jV0016m jV0016f jV0017m jV0017f jV0018m jV0018f jV0020m jV0020f jV0019m jV0019f jV0022m jV0022f jV0021m jV0021f jV0024m jV0024f jV0023m jV0023f jV0100m jV0100f jV0200m jV0200f jV0300m jV0300f jV0400m jV0400f jV0500m jV0500f jV0600m jV0600f jV0800m jV0800f jV0700m jV0700f jV1000m jV1000f jV0900m jV0900f jV1200m jV1200f jV1100m jV1100f 
1000 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 5.44543e-011 -90 0.00022 1.25455e-005 7.53982e-011 -90 0.0001005 2.14925e-005 7.53982e-011 -90 6.28319e-012 90 5.44543e-011 -90 0.00022 180 7.53982e-011 -90 0.0001005 180 7.53982e-011 -90 6.28319e-012 90 2.17817e-011 -90 0.00022 5.01818e-006 3.01593e-011 -90 0.0001005 8.59701e-006 3.01593e-011 -90 2.51327e-012 90 2.17817e-011 -90 0.00022 180 3.01593e-011 -90 0.0001005 180 3.01593e-011 -90 2.51327e-012 90 
1291.55 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 7.03304e-011 -90 0.00022 1.62031e-005 9.73806e-011 -90 0.0001005 2.77587e-005 9.73806e-011 -90 8.11505e-012 90 7.03304e-011 -90 0.00022 180 9.73806e-011 -90 0.0001005 180 9.73806e-011 -90 8.11505e-012 90 2.81322e-011 -90 0.00022 6.48123e-006 3.89522e-011 -90 0.0001005 1.11035e-005 3.89522e-011 -90 3.24602e-012 90 2.81322e-011 -90 0.00022 180 3.89522e-011 -90 0.0001005 180 3.89522e-011 -90 3.24602e-012 90 
1668.1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 9.08352e-011 -90 0.00022 2.09271e-005 1.25772e-010 -90 0.0001005 3.58517e-005 1.25772e-010 -90 1.0481e-011 90 9.08352e-011 -90 0.00022 180 1.25772e-010 -90 0.0001005 180 1.25772e-010 -90 1.0481e-011 90 3.63341e-011 -90 0.00022 8.37083e-006 5.03087e-011 -90 0.0001005 1.43407e-005 5.03087e-011 -90 4.19239e-012 90 3.63341e-011 -90 0.00022 180 5.03087e-011 -90 0.0001005 180 5.03087e-011 -90 4.19239e-012 90 
2154.43 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.17318e-010 -90 0.00022 2.70284e-005 1.62441e-010 -90 0.0001005 4.63043e-005 1.62441e-010 -90 1.35367e-011 90 1.17318e-010 -90 0.00022 180 1.62441e-010 -90 0.0001005 180 1.62441e-010 -90 1.35367e-011 90 4.69273e-011 -90 0.00022 1.08113e-005 6.49762e-011 -90 0.0001005 1.85217e-005 6.49762e-011 -90 5.41468e-012 90 4.69273e-011 -90 0.00022 180 6.49762e-011 -90 0.0001005 180 6.49762e-011 -90 5.41468e-012 90 
2782.56 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.51522e-010 -90 0.00022 3.49085e-005 2.098e-010 -90 0.0001005 5.98043e-005 2.098e-010 -90 1.74833e-011 90 1.51522e-010 -90 0.00022 180 2.098e-010 -90 0.0001005 180 2.098e-010 -90 1.74833e-011 90 6.06089e-011 -90 0.00022 1.39634e-005 8.392e-011 -90 0.0001005 2.39217e-005 8.392e-011 -90 6.99333e-012 90 6.06089e-011 -90 0.00022 180 8.392e-011 -90 0.0001005 180 8.392e-011 -90 6.99333e-012 90 
3593.81 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.95699e-010 -90 0.00022 4.5086e-005 2.70967e-010 -90 0.0001005 7.72402e-005 2.70967e-010 -90 2.25806e-011 90 1.95699e-010 -90 0.00022 180 2.70967e-010 -90 0.0001005 180 2.70967e-010 -90 2.25806e-011 90 7.82794e-011 -90 0.00022 1.80344e-005 1.08387e-010 -90 0.0001005 3.08961e-005 1.08387e-010 -90 9.03224e-012 90 7.82794e-011 -90 0.00022 180 1.08387e-010 -90 0.0001005 180 1.08387e-010 -90 9.03224e-012 90 
4641.59 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 2.52754e-010 -90 0.00022 5.82308e-005 3.49968e-010 -90 0.0001005 9.97595e-005 3.49968e-010 -90 2.9164e-011 90 2.52754e-010 -90 0.00022 180 3.49968e-010 -90 0.0001005 180 3.49968e-010 -90 2.9164e-011 90 1.01102e-010 -90 0.00022 2.32923e-005 1.39987e-010 -90 0.0001005 3.99038e-005 1.39987e-010 -90 1.16656e-011 90 1.01102e-010 -90 0.00022 180 1.39987e-010 -90 0.0001005 180 1.39987e-010 -90 1.16656e-011 90 
5994.84 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 3.26445e-010 -90 0.00022 7.5208e-005 4.52e-010 -90 0.0001005 0.000128844 4.52e-010 -90 3.76667e-011 90 3.26445e-010 -90 0.00022 180 4.52e-010 -90 0.0001005 180 4.52e-010 -90 3.76667e-011 90 1.30578e-010 -90 0.00022 3.00832e-005 1.808e-010 -90 0.0001005 5.15378e-005 1.808e-010 -90 1.50667e-011 90 1.30578e-010 -90 0.00022 180 1.808e-010 -90 0.0001005 180 1.808e-010 -90 1.50667e-011 90 
7742.64 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 4.2162e-010 -90 0.00022 9.71349e-005 5.83781e-010 -90 0.0001005 0.000166409 5.83781e-010 -90 4.86484e-011 90 4.2162e-010 -90 0.00022 180 5.83781e-010 -90 0.0001005 180 5.83781e-010 -90 4.86484e-011 90 1.68648e-010 -90 0.00022 3.8854e-005 2.33512e-010 -90 0.0001005 6.65636e-005 2.33512e-010 -90 1.94594e-011 90 1.68648e-010 -90 0.00022 180 2.33512e-010 -90 0.0001005 180 2.33512e-010 -90 1.94594e-011 90 
10000 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 5.44543e-010 -90 0.00022 0.000125455 7.53982e-010 -90 0.0001005 0.000214925 7.53982e-010 -90 6.28319e-011 90 5.44543e-010 -90 0.00022 180 7.53982e-010 -90 0.0001005 180 7.53982e-010 -90 6.28319e-011 90 2.17817e-010 -90 0.00022 5.01818e-005 3.01593e-010 -90 0.0001005 8.59701e-005 3.01593e-010 -90 2.51327e-011 90 2.17817e-010 -90 0.00022 180 3.01593e-010 -90 0.0001005 180 3.01593e-010 -90 2.51327e-011 90 
12915.5 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 7.03304e-010 -90 0.00022 0.000162031 9.73806e-010 -90 0.0001005 0.000277587 9.73806e-010 -90 8.11505e-011 90 7.03304e-010 -90 0.00022 180 9.73806e-010 -90 0.0001005 180 9.73806e-010 -90 8.11505e-011 90 2.81322e-010 -90 0.00022 6.48123e-005 3.89522e-010 -90 0.0001005 0.000111035 3.89522e-010 -90 3.24602e-011 90 2.81322e-010 -90 0.00022 180 3.89522e-010 -90 0.0001005 180 3.89522e-010 -90 3.24602e-011 90 
16681 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 9.08352e-010 -90 0.00022 0.000209271 1.25772e-009 -90 0.0001005 0.000358517 1.25772e-009 -90 1.0481e-010 90 9.08352e-010 -90 0.00022 180 1.25772e-009 -90 0.0001005 180 1.25772e-009 -90 1.0481e-010 90 3.63341e-010 -90 0.00022 8.37083e-005 5.03087e-010 -90 0.0001005 0.000143407 5.03087e-010 -90 4.19239e-011 90 3.63341e-010 -90 0.00022 180 5.03087e-010 -90 0.0001005 180 5.03087e-010 -90 4.19239e-011 90 
21544.3 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 180 0 0 1 180 0 0 1 180 0 0 0 0 1 180 0 0 1 180 0 0 1 180 1.17318e-009 -90 0.00022 0.000270284 1.62441e-009 -90 0.0001005 0.000463043 1.62441e-009 -90 1.35367e-010 90 1.17318e-009 -90 0.00022 180 1.62441e-009 -90 0.0001005 180 1.62441e-009 -90 1.35367e-010 90 4.69273e-010 -90 0.00022 0.000108113 6.49762e-010 -90 0.0001005 0.000185217 6.49762e-010 -90 5.41468e-011 90 4.69273e-010 -90 0.00022 180 6.49762e-010 -90 0.0001005 180 6.49762e-010 -90 5.41468e-011 90 
